command,name,help,description,arguments_json,has_help,has_description,mentioned_in_docs,example_in_code_block,safety_flags
campaign create,create,create command,,"[{""choices"": null, ""default"": null, ""dest"": ""goal"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""budget_json"", ""help"": null, ""nargs"": null, ""option_strings"": [""--budget-json""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""policy_json"", ""help"": null, ""nargs"": null, ""option_strings"": [""--policy-json""], ""required"": false, ""type"": null}]",True,False,False,False,[]
campaign list,list,list command,,[],True,False,False,False,[]
campaign pause,pause,pause command,,"[{""choices"": null, ""default"": null, ""dest"": ""campaign_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
campaign plan,plan,plan command,,"[{""choices"": null, ""default"": null, ""dest"": ""campaign_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
campaign resume,resume,resume command,,"[{""choices"": null, ""default"": null, ""dest"": ""campaign_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
campaign snapshot,snapshot,snapshot command,,"[{""choices"": null, ""default"": null, ""dest"": ""campaign_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
campaign start,start,start command,,"[{""choices"": null, ""default"": null, ""dest"": ""campaign_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
campaign status,status,status command,,"[{""choices"": null, ""default"": null, ""dest"": ""campaign_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
campaign stop,stop,stop command,,"[{""choices"": null, ""default"": null, ""dest"": ""campaign_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
candidate,candidate,canonical candidate capability commands,Canonical candidate commands implemented by the current capability subsystem.,"[{""choices"": null, ""default"": ""."", ""dest"": ""project"", ""help"": ""project root used by the capability implementation (default: current directory)"", ""nargs"": null, ""option_strings"": [""--project""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": ""analyst"", ""dest"": ""actor"", ""help"": null, ""nargs"": null, ""option_strings"": [""--actor""], ""required"": false, ""type"": null}]",True,True,False,False,[]
candidate add-file,add-file,add-file command,,"[{""choices"": null, ""default"": null, ""dest"": ""candidate_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""source"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""relative_path"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
candidate compare,compare,compare command,,"[{""choices"": null, ""default"": null, ""dest"": ""left_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""right_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
candidate create,create,create command,,"[{""choices"": null, ""default"": null, ""dest"": ""branch_name"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""campaign_id"", ""help"": null, ""nargs"": null, ""option_strings"": [""--campaign-id""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""parent"", ""help"": null, ""nargs"": null, ""option_strings"": [""--parent""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""objective_json"", ""help"": null, ""nargs"": null, ""option_strings"": [""--objective-json""], ""required"": false, ""type"": null}]",True,False,False,False,[]
candidate evaluate,evaluate,evaluate command,,"[{""choices"": null, ""default"": null, ""dest"": ""candidate_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""metric"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""status"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""value"", ""help"": null, ""nargs"": null, ""option_strings"": [""--value""], ""required"": false, ""type"": ""float""}, {""choices"": null, ""default"": null, ""dest"": ""details_json"", ""help"": null, ""nargs"": null, ""option_strings"": [""--details-json""], ""required"": false, ""type"": null}]",True,False,False,False,[]
candidate list,list,list command,,"[{""choices"": null, ""default"": null, ""dest"": ""campaign_id"", ""help"": null, ""nargs"": null, ""option_strings"": [""--campaign-id""], ""required"": false, ""type"": null}]",True,False,False,False,[]
candidate promote,promote,promote command,,"[{""choices"": null, ""default"": null, ""dest"": ""function_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""candidate"", ""help"": null, ""nargs"": null, ""option_strings"": [""--candidate""], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""report"", ""help"": null, ""nargs"": null, ""option_strings"": [""--report""], ""required"": true, ""type"": null}, {""choices"": null, ""default"": ""matched"", ""dest"": ""stage"", ""help"": null, ""nargs"": null, ""option_strings"": [""--stage""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": false, ""dest"": ""update_workflow"", ""help"": null, ""nargs"": 0, ""option_strings"": [""--update-workflow""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": false, ""dest"": ""update_build"", ""help"": null, ""nargs"": 0, ""option_strings"": [""--update-build""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": false, ""dest"": ""overwrite"", ""help"": null, ""nargs"": 0, ""option_strings"": [""--overwrite""], ""required"": false, ""type"": null}]",True,False,False,False,[]
candidate search,search,emit an ordered candidate-search plan only; no source edits or promotions are performed,emit an ordered candidate-search plan only; no source edits or promotions are performed,"[{""choices"": null, ""default"": null, ""dest"": ""phase"", ""help"": null, ""nargs"": null, ""option_strings"": [""--phase""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""output"", ""help"": null, ""nargs"": null, ""option_strings"": [""--output""], ""required"": false, ""type"": null}]",True,True,False,False,[]
candidate show,show,show command,,"[{""choices"": null, ""default"": null, ""dest"": ""candidate_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
candidate transition,transition,transition command,,"[{""choices"": null, ""default"": null, ""dest"": ""candidate_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""state"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""reason"", ""help"": null, ""nargs"": null, ""option_strings"": [""--reason""], ""required"": true, ""type"": null}]",True,False,False,False,[]
